Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
40.2,2477663224,35042,70705.5,9238.0,125,1940444,106973.5,cudaMemcpyAsync
33.9,2084263440,597195,3490.1,3303.0,1145,305557,1181.1,cudaLaunchKernel
11.7,722735407,3823,189049.3,5590.0,1376,4264240,762422.9,cudaDeviceSynchronize
3.3,203963256,59136,3449.1,3223.0,2962,54023,945.6,cudaLaunchKernelExC_v11060
3.2,198209535,59264,3344.5,3167.0,2978,28211,863.3,cuLaunchKernel
1.8,112300999,32768,3427.2,3438.0,2631,23341,946.1,cuLaunchKernelEx
1.7,104748900,125312,835.9,775.0,522,30225,424.8,cudaEventRecord
1.2,75924627,597195,127.1,120.0,99,17226,120.5,cuKernelGetName
0.8,52055912,66176,786.6,657.0,543,16540,453.6,cudaStreamWaitEvent
0.6,38404456,295680,129.9,108.0,95,15891,124.4,cuStreamGetCaptureInfo_v2
0.3,20766614,32768,633.7,588.0,429,16485,369.9,cudaGetFuncBySymbol_v11000
0.3,20314853,65536,310.0,271.0,229,18583,243.6,cudaStreamGetCaptureInfo_v12030
0.3,19850761,59264,335.0,301.0,259,18209,251.1,cuKernelGetFunction
0.2,9607411,616,15596.4,11101.5,3929,41598,11024.4,cudaMemset
0.1,8169771,1889,4324.9,3768.0,1014,307508,9888.7,cudaStreamSynchronize
0.1,4342992,640,6785.9,6104.5,3939,28967,2872.1,cudaMemcpyPeerAsync
0.1,3769165,257,14666.0,15716.0,6699,36931,6307.4,cudaGraphLaunch_v10000
0.0,16651,2,8325.5,8325.5,8143,8508,258.1,cudaGraphExecUpdate_v10020
0.0,15815,2,7907.5,7907.5,7826,7989,115.3,cudaStreamBeginCapture_v10000
0.0,12356,2,6178.0,6178.0,5981,6375,278.6,cudaGraphDestroy_v10000
0.0,3423,2,1711.5,1711.5,1590,1833,171.8,cudaStreamEndCapture_v10000
