Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
40.2,2493714451,35138,70969.2,9774.0,125,1937584,106995.5,cudaMemcpyAsync
33.9,2103623581,597195,3522.5,3319.0,1080,224676,1107.7,cudaLaunchKernel
11.7,722661981,3825,188931.2,5771.0,1359,4266066,762148.4,cudaDeviceSynchronize
3.3,206143233,59136,3485.9,3251.0,3017,39154,967.6,cudaLaunchKernelExC_v11060
3.2,199394700,59264,3364.5,3171.0,2987,29653,920.6,cuLaunchKernel
1.8,112717568,32768,3439.9,3423.0,2610,31506,962.4,cuLaunchKernelEx
1.7,105134156,125312,839.0,772.0,520,18329,458.5,cudaEventRecord
1.2,76377991,597195,127.9,121.0,99,17419,131.0,cuKernelGetName
0.8,52440910,66176,792.4,660.0,538,17199,482.2,cudaStreamWaitEvent
0.6,38849167,295680,131.4,110.0,95,21998,148.0,cuStreamGetCaptureInfo_v2
0.3,21017242,32768,641.4,588.0,432,33948,445.4,cudaGetFuncBySymbol_v11000
0.3,20664413,65536,315.3,272.0,230,16152,322.4,cudaStreamGetCaptureInfo_v12030
0.3,19953721,59264,336.7,301.0,258,15994,239.5,cuKernelGetFunction
0.2,9503924,616,15428.4,10987.5,3740,47854,10905.3,cudaMemset
0.1,8477924,1985,4271.0,3764.0,1044,307609,9699.8,cudaStreamSynchronize
0.1,4483052,640,7004.8,6129.5,3991,63810,4199.9,cudaMemcpyPeerAsync
0.1,3807426,257,14814.9,15888.0,6681,35880,6336.8,cudaGraphLaunch_v10000
0.0,17984,2,8992.0,8992.0,8511,9473,680.2,cudaStreamBeginCapture_v10000
0.0,16930,2,8465.0,8465.0,7997,8933,661.9,cudaGraphExecUpdate_v10020
0.0,12642,2,6321.0,6321.0,6101,6541,311.1,cudaGraphDestroy_v10000
0.0,4650,1,4650.0,4650.0,4650,4650,0.0,cuProfilerStart
0.0,3263,2,1631.5,1631.5,1601,1662,43.1,cudaStreamEndCapture_v10000
