Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
66.8,81464527848,1122,72606531.1,10439109.5,1398,1001423290,146707766.9,poll
18.5,22516087446,38,592528617.0,500434907.0,500066599,4000254537,567746851.4,pthread_cond_timedwait
7.7,9357741430,2,4678870715.0,4678870715.0,103919538,9253821892,6469958001.7,pthread_cond_wait
7.0,8587059610,9,954117734.4,1000433519.0,583568246,1000447288,138956058.3,pthread_cond_clockwait
0.0,650188,109,5965.0,5801.0,2606,11806,1141.2,fputs
0.0,223776,12,18648.0,20422.0,1568,28973,8371.3,pthread_mutex_lock
0.0,131377,4,32844.3,38069.5,14114,41124,12699.3,ioctl
0.0,88880,2,44440.0,44440.0,9541,79339,49354.6,send
0.0,41199,7,5885.6,5863.0,1330,11866,4161.4,fflush
0.0,19850,1,19850.0,19850.0,19850,19850,0.0,shutdown
0.0,17842,4,4460.5,5050.5,1278,6463,2290.3,pthread_cond_signal
0.0,7080,1,7080.0,7080.0,7080,7080,0.0,close
0.0,2708,1,2708.0,2708.0,2708,2708,0.0,pthread_cond_broadcast
0.0,1696,1,1696.0,1696.0,1696,1696,0.0,recv
