Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
69.9,156793971,616,254535.7,260784.5,69087,486304,182421.0,[CUDA memset]
28.6,64107616,33088,1937.5,896.0,800,128480,10583.7,[CUDA memcpy Device-to-Host]
1.0,2344479,1793,1307.6,736.0,704,306143,10194.6,[CUDA memcpy Host-to-Device]
0.5,1208349,640,1888.0,1792.0,1311,95776,4183.7,[CUDA memcpy Peer-to-Peer]
