Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
67.6,90785761947,1228,73929773.6,10441896.5,1190,1001404118,148643920.4,poll
17.9,24015801902,41,585751265.9,500436193.0,500066849,4000141497,546569133.6,pthread_cond_timedwait
7.7,10313760765,2,5156880382.5,5156880382.5,104588498,10209172267,7145019704.1,pthread_cond_wait
6.9,9271734997,10,927173499.7,1000437403.5,268143831,1000452749,231559451.1,pthread_cond_clockwait
0.0,661377,108,6123.9,6084.5,3550,11008,977.1,fputs
0.0,232189,9,25798.8,23714.0,19846,37484,6033.8,pthread_mutex_lock
0.0,112051,4,28012.8,26803.0,13406,45039,16668.3,ioctl
0.0,55930,2,27965.0,27965.0,9693,46237,25840.5,send
0.0,21744,1,21744.0,21744.0,21744,21744,0.0,shutdown
0.0,20213,5,4042.6,2683.0,1016,10003,3501.7,fflush
0.0,13280,1,13280.0,13280.0,13280,13280,0.0,close
0.0,11353,3,3784.3,3296.0,1855,6202,2214.3,pthread_cond_signal
0.0,3233,1,3233.0,3233.0,3233,3233,0.0,pthread_cond_broadcast
0.0,1782,1,1782.0,1782.0,1782,1782,0.0,recv
