Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
65.1,90284134333,1240,72809785.8,10442711.5,1433,1001448709,147045007.5,poll
20.6,28518110410,43,663211870.0,500436108.0,500094467,4000438944,745792308.8,pthread_cond_timedwait
7.5,10347214781,2,5173607390.5,5173607390.5,106600934,10240613847,7165829251.4,pthread_cond_wait
6.9,9565358212,10,956535821.2,1000436607.0,562114924,1000448670,138585458.4,pthread_cond_clockwait
0.0,695954,9,77328.2,22063.0,19148,266378,106191.1,pthread_mutex_lock
0.0,686815,109,6301.1,6186.0,2386,22173,1805.2,fputs
0.0,205357,6,34226.2,34652.5,13868,54498,18179.3,ioctl
0.0,63327,2,31663.5,31663.5,13478,49849,25718.2,send
0.0,24910,7,3558.6,3467.0,1275,6511,2257.4,fflush
0.0,23827,1,23827.0,23827.0,23827,23827,0.0,shutdown
0.0,13430,3,4476.7,4377.0,3013,6040,1516.0,pthread_cond_signal
0.0,6455,1,6455.0,6455.0,6455,6455,0.0,close
0.0,3203,1,3203.0,3203.0,3203,3203,0.0,pthread_cond_broadcast
0.0,1529,1,1529.0,1529.0,1529,1529,0.0,recv
