Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
39.6,2464243730,35138,70130.4,10086.0,129,1921683,106316.8,cudaMemcpyAsync
34.1,2119916878,597195,3549.8,3329.0,1125,286107,1155.7,cudaLaunchKernel
12.1,749651935,3825,195987.4,5957.0,1385,4264290,760449.8,cudaDeviceSynchronize
3.4,209094129,59136,3535.8,3277.0,3020,299626,1561.9,cudaLaunchKernelExC_v11060
3.2,198170959,59264,3343.9,3154.0,2927,32356,928.2,cuLaunchKernel
1.8,113884736,32768,3475.5,3465.0,2614,37890,1015.2,cuLaunchKernelEx
1.7,104792409,125312,836.3,756.0,520,20463,438.7,cudaEventRecord
1.2,77071962,597195,129.1,121.0,92,19302,130.5,cuKernelGetName
0.9,52981757,66176,800.6,674.0,549,18777,469.8,cudaStreamWaitEvent
0.6,38402793,295680,129.9,110.0,98,19214,133.0,cuStreamGetCaptureInfo_v2
0.3,21133697,32768,644.9,601.0,435,18530,358.6,cudaGetFuncBySymbol_v11000
0.3,20498941,65536,312.8,270.0,228,22914,270.9,cudaStreamGetCaptureInfo_v12030
0.3,20190260,59264,340.7,299.0,258,23631,277.5,cuKernelGetFunction
0.2,11091258,616,18005.3,11504.5,4176,53049,13178.0,cudaMemset
0.1,8521026,1985,4292.7,3755.0,1054,308313,9680.3,cudaStreamSynchronize
0.1,4227074,640,6604.8,5476.5,3413,18429,3011.2,cudaMemcpyPeerAsync
0.1,3927938,257,15283.8,16899.0,7192,32973,6971.9,cudaGraphLaunch_v10000
0.0,16859,2,8429.5,8429.5,8210,8649,310.4,cudaGraphExecUpdate_v10020
0.0,16614,2,8307.0,8307.0,8140,8474,236.2,cudaStreamBeginCapture_v10000
0.0,11733,2,5866.5,5866.5,5451,6282,587.6,cudaGraphDestroy_v10000
0.0,6363,1,6363.0,6363.0,6363,6363,0.0,cuProfilerStart
0.0,3043,2,1521.5,1521.5,1507,1536,20.5,cudaStreamEndCapture_v10000
