Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
33.1,3198776380,56771,56345.3,58496.0,15808,93280,24988.5,"void mul_mat_q_split_k<(ggml_type)2, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
14.8,1428301357,16258,87852.2,87776.0,87168,96864,509.5,"void fused_mul_mat_vec_q<(ggml_type)2, (int)1, (int)4, (int)1>(const void *, const void *, const void *, float *, const char *, const void *, const void *, unsigned long, int, int, int, int, unsigned long, unsigned long, unsigned long, long, ggml_unary_op, float)"
14.2,1374310459,32768,41940.6,21184.0,11840,1282077,50515.9,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
8.1,785952140,59264,13261.9,4000.0,3903,4193380,193939.9,void cutlass::Kernel2<cutlass_75_wmma_tensorop_h161616gemm_16x16_128x2_tn_align8>(T1::Params)
6.6,638346318,3967,160914.1,112992.0,112000,600639,65850.8,"void flash_attn_per_slot_kv_singlewarp_kernel<(int)256, (int)256, (ggml_type)2, (ggml_type)2>(const char *, const char *, const char *, const char *, const char *, const int *, const int *, int, float *, float2 *, float, float, float, float, float, unsigned int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
5.3,513247118,12192,42097.0,42112.0,40544,44096,452.2,"void mul_mat_q_split_k<(ggml_type)159, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
2.3,225869414,693,325929.9,424576.0,55040,455359,131394.7,"void mul_mat_q_split_k<(ggml_type)2, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
2.3,219622428,32638,6729.0,2464.0,2111,19168,5627.2,"void cpy_flt<&cpy_1_flt<float, float>>(const char *, char *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, char **, int)"
1.6,155771646,32895,4735.4,4640.0,4448,17120,915.9,"void fused_rms_norm_f32<(int)1024, float>(const T2 *, const float *, float *, int, float)"
1.4,135783160,68963,1968.9,2048.0,1407,2464,195.0,"void mul_mat_q_split_k_fixup<(int)8, (int)8, (bool)0, (int)4>(float *, const float *, int, int, int)"
1.3,129488455,12288,10537.8,7552.0,7328,391647,33590.5,"void delta_net_recurrent_f32<(int)128, (int)256>(const float *, const float *, const float *, const float *, const float *, const float *, float *, long, long, int, long, long, long, int, unsigned long, unsigned long, unsigned long)"
1.2,114615374,59136,1938.2,1952.0,1887,2016,20.9,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, __half, __half, (bool)0, __half, __half, __half, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
1.0,93809449,49148,1908.7,1664.0,1599,15168,765.0,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1>(const float *, void *, long, long, long)"
0.9,88961285,59264,1501.1,1472.0,1280,2208,175.8,"void convert_unary<float, __half>(const void *, T2 *, long)"
0.8,80894804,59264,1365.0,1344.0,1280,4352,141.9,"void convert_unary<__half, float>(const void *, T2 *, long)"
0.6,57524899,12288,4681.4,4672.0,4576,5440,59.9,"concat_f32_dim0(const float *, const float *, float *, long, long)"
0.4,41634185,24384,1707.4,1696.0,1632,1792,34.8,"void l2_norm_f32<(int)256>(const float *, float *, int, float)"
0.3,33444563,12288,2721.7,2560.0,2272,23168,1766.4,"void ssm_conv_single_seq_f32_nc4<(int)32>(const float *, const float *, const float *, float *, int, int, int, int, int)"
0.3,31818605,16252,1957.8,1920.0,1855,12928,655.4,"void hadamard_f32<(int)256>(const char *, char *, int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.3,31230111,16383,1906.3,1760.0,1600,20416,1415.6,"void k_add_same<(int)256, float>(long, const T2 *, const T2 *, T2 *)"
0.3,30777490,7934,3879.2,3840.0,3647,15616,1005.1,"void k_set_rows_quant<long, block_q4_0, (int)32, &quantize_f32_q4_0_block>(const float *, const T1 *, T2 *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long)"
0.3,30019821,789,38047.9,34528.0,7904,59584,15367.7,"void mul_mat_q_split_k_fixup<(int)96, (int)8, (bool)0, (int)4>(float *, const float *, int, int, int)"
0.3,27759796,96,289164.5,289408.0,279840,297695,3587.6,"void mul_mat_q_split_k<(ggml_type)159, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
0.3,26695093,12288,2172.5,2080.0,2016,13152,935.0,"void fused_rms_norm_f32<(int)128, float>(const T2 *, const float *, float *, int, float)"
0.3,26069965,16258,1603.5,1600.0,1536,1760,23.7,"quantize_q8_1(const float *, void *, long, long)"
0.3,25940880,12288,2111.1,2112.0,2047,3104,58.1,"ssm_conv_single_seq_final_state_f32(const float *, const float *, float *, int, int, int, int, int, int)"
