Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
33.1,3199192778,56771,56352.6,58496.0,15808,93856,24987.6,"void mul_mat_q_split_k<(ggml_type)2, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
14.8,1428168718,16258,87844.1,87776.0,87232,94080,493.4,"void fused_mul_mat_vec_q<(ggml_type)2, (int)1, (int)4, (int)1>(const void *, const void *, const void *, float *, const char *, const void *, const void *, unsigned long, int, int, int, int, unsigned long, unsigned long, unsigned long, long, ggml_unary_op, float)"
14.3,1377829684,32768,42048.0,19792.0,12128,1288062,50617.1,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
8.1,785952015,59264,13261.9,4000.0,3903,4193603,193957.5,void cutlass::Kernel2<cutlass_75_wmma_tensorop_h161616gemm_16x16_128x2_tn_align8>(T1::Params)
6.6,638225143,3967,160883.6,113024.0,111904,600193,65808.7,"void flash_attn_per_slot_kv_singlewarp_kernel<(int)256, (int)256, (ggml_type)2, (ggml_type)2>(const char *, const char *, const char *, const char *, const char *, const int *, const int *, int, float *, float2 *, float, float, float, float, float, unsigned int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
5.3,513174457,12192,42091.1,42112.0,40640,43840,462.1,"void mul_mat_q_split_k<(ggml_type)159, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
2.3,225940638,693,326032.7,424832.0,55104,456736,131689.1,"void mul_mat_q_split_k<(ggml_type)2, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
2.3,219572876,32638,6727.5,2464.0,2111,19168,5624.9,"void cpy_flt<&cpy_1_flt<float, float>>(const char *, char *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, char **, int)"
1.6,155783759,32895,4735.8,4640.0,4448,16032,915.4,"void fused_rms_norm_f32<(int)1024, float>(const T2 *, const float *, float *, int, float)"
1.4,135802621,68963,1969.2,2048.0,1408,2336,195.0,"void mul_mat_q_split_k_fixup<(int)8, (int)8, (bool)0, (int)4>(float *, const float *, int, int, int)"
1.3,129517502,12288,10540.2,7552.0,7328,391903,33616.2,"void delta_net_recurrent_f32<(int)128, (int)256>(const float *, const float *, const float *, const float *, const float *, const float *, float *, long, long, int, long, long, long, int, unsigned long, unsigned long, unsigned long)"
1.2,114619388,59136,1938.2,1952.0,1824,2016,21.1,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, __half, __half, (bool)0, __half, __half, __half, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
1.0,93836261,49148,1909.3,1664.0,1600,15200,766.5,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1>(const float *, void *, long, long, long)"
0.9,88978251,59264,1501.4,1472.0,1280,2208,175.5,"void convert_unary<float, __half>(const void *, T2 *, long)"
0.8,80918071,59264,1365.4,1344.0,1279,4320,141.7,"void convert_unary<__half, float>(const void *, T2 *, long)"
0.6,57538680,12288,4682.5,4672.0,4576,5376,60.2,"concat_f32_dim0(const float *, const float *, float *, long, long)"
0.4,41638472,24384,1707.6,1696.0,1631,1792,35.1,"void l2_norm_f32<(int)256>(const float *, float *, int, float)"
0.3,33466361,12288,2723.5,2560.0,2240,23360,1770.5,"void ssm_conv_single_seq_f32_nc4<(int)32>(const float *, const float *, const float *, float *, int, int, int, int, int)"
0.3,31824621,16252,1958.2,1920.0,1855,12608,655.4,"void hadamard_f32<(int)256>(const char *, char *, int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.3,31227697,16383,1906.1,1760.0,1600,19712,1415.2,"void k_add_same<(int)256, float>(long, const T2 *, const T2 *, T2 *)"
0.3,30783160,7934,3879.9,3840.0,3647,15648,1005.2,"void k_set_rows_quant<long, block_q4_0, (int)32, &quantize_f32_q4_0_block>(const float *, const T1 *, T2 *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long)"
0.3,30029800,789,38060.6,34464.0,7936,59968,15400.6,"void mul_mat_q_split_k_fixup<(int)96, (int)8, (bool)0, (int)4>(float *, const float *, int, int, int)"
0.3,27744339,96,289003.5,289840.5,276097,296863,4052.8,"void mul_mat_q_split_k<(ggml_type)159, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
0.3,26695515,12288,2172.5,2080.0,2016,13120,936.1,"void fused_rms_norm_f32<(int)128, float>(const T2 *, const float *, float *, int, float)"
0.3,26071479,16258,1603.6,1600.0,1536,1792,23.6,"quantize_q8_1(const float *, void *, long, long)"
0.3,25931207,12288,2110.3,2112.0,2047,3040,58.3,"ssm_conv_single_seq_final_state_f32(const float *, const float *, float *, int, int, int, int, int, int)"
0.2,22512569,12414,1813.5,1408.0,1344,34208,3175.0,"fused_mul_silu_f32(const float *, const float *, float *, int)"
0.2,20347579,12288,1655.9,1664.0,1599,1920,31.4,"k_fused_softplus(int, int, const float *, const float *, const float *, float *)"
0.2,18083472,12288,1471.6,1376.0,1343,12640,936.6,"silu_f32(const float *, float *, int)"
0.2,17355417,8190,2119.1,2112.0,1952,11936,618.3,"void fused_rms_norm_f32<(int)256, float>(const T2 *, const float *, float *, int, float)"
0.2,17285687,8190,2110.6,2112.0,1920,13120,669.2,"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool)"
0.1,7959896,3967,2006.5,1952.0,1919,8992,596.0,"void k_bin_bcast<&op_mul, float, float, float>(const T2 *, const T3 *, T4 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
0.1,5597345,3967,1411.0,1376.0,1343,5728,372.8,"sigmoid_f32(const float *, float *, int)"
0.0,848510,192,4419.3,4448.0,4064,4896,198.4,"void l2_norm_f32_nc<(int)32>(const float *, float *, int, long, long, long, float)"
0.0,714112,96,7438.7,7456.0,7296,7712,82.4,"scale_f32(const float *, float *, float, float, long)"
