Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
39.7,2453383947,35042,70012.7,9036.5,128,1939634,106574.0,cudaMemcpyAsync
34.0,2096593531,597195,3510.7,3321.0,1139,261706,1165.1,cudaLaunchKernel
12.2,750132954,3823,196215.8,5326.0,1350,4263153,761700.6,cudaDeviceSynchronize
3.3,206514007,59136,3492.2,3271.0,3035,23225,882.5,cudaLaunchKernelExC_v11060
3.2,195536348,59264,3299.4,3134.0,2942,27325,810.9,cuLaunchKernel
1.8,112371251,32768,3429.3,3453.0,2573,22850,904.5,cuLaunchKernelEx
1.7,103121978,125312,822.9,753.0,525,39128,431.3,cudaEventRecord
1.2,76168692,597195,127.5,119.0,97,15925,139.0,cuKernelGetName
0.8,52210933,66176,789.0,666.0,554,17541,476.6,cudaStreamWaitEvent
0.6,37916048,295680,128.2,109.0,98,23471,139.3,cuStreamGetCaptureInfo_v2
0.3,20882356,32768,637.3,597.0,441,16362,322.7,cudaGetFuncBySymbol_v11000
0.3,20274746,65536,309.4,269.0,226,11838,229.6,cudaStreamGetCaptureInfo_v12030
0.3,20058796,59264,338.5,298.0,255,21433,256.1,cuKernelGetFunction
0.2,11053038,616,17943.2,11609.0,4233,54100,13260.4,cudaMemset
0.1,8239641,1889,4361.9,3777.0,976,307353,9873.5,cudaStreamSynchronize
0.1,4138977,640,6467.2,5359.0,3413,19903,2968.3,cudaMemcpyPeerAsync
0.1,3889043,257,15132.5,17353.0,7182,32364,6915.2,cudaGraphLaunch_v10000
0.0,18168,2,9084.0,9084.0,8918,9250,234.8,cudaStreamBeginCapture_v10000
0.0,17104,2,8552.0,8552.0,8333,8771,309.7,cudaGraphExecUpdate_v10020
0.0,11770,2,5885.0,5885.0,5554,6216,468.1,cudaGraphDestroy_v10000
0.0,3213,2,1606.5,1606.5,1586,1627,29.0,cudaStreamEndCapture_v10000
