PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
231810,231810,0,33024,33000,140950.8,153006.0,16695,1926628,120407.0,3031.0,2856.0,2563,919266,5105.2,66610.7,98343.5,24,1416918,102274.4,71361.8,52480.0,12224,1296700,57563.3,cuLaunchKernelEx,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
231810,231810,1,57297,57253,120313.7,97897.0,59029,525859,60305.7,3435.1,3297.0,2951,24962,744.5,60639.2,56009.0,145,484465,56404.6,56288.7,58496.0,15744,93664,24984.8,cudaLaunchKernel,"void mul_mat_q_split_k<(ggml_type)2, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
231810,231810,1,16476,16474,119541.0,73050.0,7915,1174863,94087.9,3406.1,3227.0,2908,21772,745.3,114199.2,67666.5,3401,1159175,93796.2,1949.7,1920.0,1824,12544,644.6,cudaLaunchKernel,"void hadamard_f32<(int)256>(const char *, char *, int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
231810,231810,0,57039,56999,116482.3,97335.0,59814,308659,55608.6,3448.5,3316.0,2924,25392,743.9,56753.1,55262.0,188,267705,49566.8,56322.9,58176.0,15776,93311,25053.0,cudaLaunchKernel,"void mul_mat_q_split_k<(ggml_type)2, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
231810,231810,1,69576,69576,114230.1,96111.0,42852,524855,55869.0,3270.1,3144.0,2828,25817,696.9,108986.2,90925.0,33039,519452,55862.8,1973.8,2048.0,1408,2368,198.0,cudaLaunchKernel,"void mul_mat_q_split_k_fixup<(int)8, (int)8, (bool)0, (int)4>(float *, const float *, int, int, int)"
231810,231810,0,69318,69316,109262.6,89205.0,41578,1539853,52763.1,3342.7,3162.0,2803,1539853,8272.9,103953.2,83865.0,27264,302593,52165.3,1969.8,2048.0,1407,2432,202.6,cudaLaunchKernel,"void mul_mat_q_split_k_fixup<(int)8, (int)8, (bool)0, (int)4>(float *, const float *, int, int, int)"
231810,231810,0,16221,16217,106024.1,69783.0,6181,1164737,85749.7,3480.6,3241.0,2936,23733,784.7,100619.0,64439.0,662,1149183,85431.8,1949.5,1888.0,1824,12544,657.0,cudaLaunchKernel,"void hadamard_f32<(int)256>(const char *, char *, int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
231810,231810,0,63,63,100597.0,99831.0,99214,144586,5645.4,4497.1,3707.0,3395,48441,5632.4,811.3,791.0,209,1103,124.9,95288.6,95263.0,94943,95936,213.9,cudaLaunchKernel,"void fused_mul_mat_vec_q<(ggml_type)2, (int)2, (int)4, (int)1>(const void *, const void *, const void *, float *, const char *, const void *, const void *, unsigned long, int, int, int, int, unsigned long, unsigned long, unsigned long, long, ggml_unary_op, float)"
231810,231810,1,63,63,99868.8,99313.0,98872,132322,4163.9,4146.3,3558.0,3294,36734,4178.0,940.5,898.0,725,1610,190.8,94782.0,94752.0,94496,95488,178.9,cudaLaunchKernel,"void fused_mul_mat_vec_q<(ggml_type)2, (int)2, (int)4, (int)1>(const void *, const void *, const void *, float *, const char *, const void *, const void *, unsigned long, int, int, int, int, unsigned long, unsigned long, unsigned long, long, ggml_unary_op, float)"
231810,231810,1,12279,12271,93372.9,95588.0,46728,105399,7737.1,3730.9,3539.0,3197,32195,901.6,47608.9,49850.0,65,59363,7884.8,42064.3,42112.0,40672,43616,451.5,cudaLaunchKernel,"void mul_mat_q_split_k<(ggml_type)159, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
231810,231810,1,16320,16278,92469.3,92286.0,91500,109848,834.0,3817.3,3660.0,3320,21301,778.5,903.9,857.0,9,3699,185.4,87761.4,87712.0,87072,93984,463.2,cudaLaunchKernel,"void fused_mul_mat_vec_q<(ggml_type)2, (int)1, (int)4, (int)1>(const void *, const void *, const void *, float *, const char *, const void *, const void *, unsigned long, int, int, int, int, unsigned long, unsigned long, unsigned long, long, ggml_unary_op, float)"
231810,231810,0,16320,16283,92464.1,92264.0,91598,109513,904.7,3890.3,3738.0,3310,20854,765.5,821.6,796.0,124,2098,104.5,87760.6,87680.0,87200,93216,522.0,cudaLaunchKernel,"void fused_mul_mat_vec_q<(ggml_type)2, (int)1, (int)4, (int)1>(const void *, const void *, const void *, float *, const char *, const void *, const void *, unsigned long, int, int, int, int, unsigned long, unsigned long, unsigned long, long, ggml_unary_op, float)"
231810,231810,1,8238,8238,91963.2,80624.0,40150,539181,52120.9,3466.7,3312.0,3048,19307,734.4,86388.7,75183.0,31870,529883,51750.6,2107.8,2112.0,1920,11744,600.3,cudaLaunchKernel,"void fused_rms_norm_f32<(int)256, float>(const T2 *, const float *, float *, int, float)"
231810,231810,1,32988,32968,86837.5,63331.0,7060,1189836,71140.7,3597.7,3456.0,3141,34630,764.6,76602.8,52428.0,192,1167136,72373.9,6683.7,2464.0,2080,19040,5597.1,cudaLaunchKernel,"void cpy_flt<&cpy_1_flt<float, float>>(const char *, char *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, char **, int)"
231810,231810,1,8238,8238,86544.1,75047.0,18731,552891,53210.1,3757.2,3564.0,3061,20536,847.9,80682.0,69359.5,10345,545598,52792.1,2104.9,2112.0,1920,13344,656.4,cudaLaunchKernel,"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool)"
231810,231810,0,12375,12375,84221.9,81674.0,28565,773213,59997.2,3676.5,3468.0,3172,26605,916.2,78643.7,76341.0,17258,751792,58617.7,1901.6,1760.0,1600,18879,1409.7,cudaLaunchKernel,"void k_add_same<(int)256, float>(long, const T2 *, const T2 *, T2 *)"
231810,231810,0,12279,12265,83528.4,85928.0,46223,97113,9179.2,3898.5,3696.0,3306,24683,858.5,37630.9,40145.0,2,51825,9433.8,42042.4,42079.0,40544,43872,459.7,cudaLaunchKernel,"void mul_mat_q_split_k<(ggml_type)159, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
231810,231810,0,8238,8238,82043.6,79111.0,26198,536216,38727.3,3566.8,3411.0,3079,20577,770.3,76369.6,73577.0,17222,528008,38192.9,2107.3,2080.0,1920,11936,614.2,cudaLaunchKernel,"void fused_rms_norm_f32<(int)256, float>(const T2 *, const float *, float *, int, float)"
231810,231810,1,8238,8234,79886.9,69059.5,9889,574579,54786.9,3736.9,3554.0,3156,20421,811.2,72302.5,61602.5,30112,555933,54029.2,3882.7,3872.0,3648,15776,997.9,cudaLaunchKernel,"void k_set_rows_quant<long, block_q4_0, (int)32, &quantize_f32_q4_0_block>(const float *, const T1 *, T2 *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long)"
231810,231810,0,32733,32710,76519.5,55962.0,7145,1180012,66827.2,3657.1,3502.0,3153,62858,889.5,66174.9,44676.5,101,1157657,68080.4,6734.4,2464.0,2080,19072,5623.6,cudaLaunchKernel,"void cpy_flt<&cpy_1_flt<float, float>>(const char *, char *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, char **, int)"
231810,231810,0,8238,8237,75615.0,72303.0,9336,1528999,43228.5,4019.8,3675.5,3151,1528271,16818.0,69490.8,66551.0,376,538623,39559.0,2113.0,2112.0,1951,13280,673.3,cudaLaunchKernel,"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool)"
231810,231810,1,12501,12490,71297.9,60924.0,6480,1622286,101776.2,3534.6,3262.0,2907,1622286,14497.7,65940.7,56039.0,258,1007674,97760.6,1881.0,1504.0,1344,33600,3137.5,cudaLaunchKernel,"fused_mul_silu_f32(const float *, const float *, float *, int)"
