PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
231670,231670,1,786,786,773316.4,517809.5,309715,1512766,401794.0,3435.6,3192.5,2847,24996,1365.5,731578.0,497593.5,255158,1474515,400012.9,38302.8,34816.0,8032,59616,15278.3,cudaLaunchKernel,"void mul_mat_q_split_k_fixup<(int)96, (int)8, (bool)0, (int)4>(float *, const float *, int, int, int)"
231670,231670,0,789,789,763834.1,509830.0,308795,1495694,395475.3,3482.6,3171.0,2863,30871,1641.1,722466.3,490699.0,246533,1458658,394054.9,37885.3,34272.0,8064,59328,15350.1,cudaLaunchKernel,"void mul_mat_q_split_k_fixup<(int)96, (int)8, (bool)0, (int)4>(float *, const float *, int, int, int)"
231670,231670,1,690,689,742597.5,486158.5,280410,1480657,426029.1,3710.0,3386.5,3002,18892,1066.4,412786.0,320330.0,759,1188822,392355.5,326700.1,425088.0,55136,466592,131241.9,cudaLaunchKernel,"void mul_mat_q_split_k<(ggml_type)2, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
231670,231670,0,693,692,732708.6,485308.0,282402,1464636,419623.9,3729.0,3389.0,3011,20019,1085.9,406098.3,324963.0,179,1175485,386037.9,323469.9,421439.0,54720,462718,130426.0,cudaLaunchKernel,"void mul_mat_q_split_k<(ggml_type)2, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
231670,231670,1,96,96,708437.2,715581.5,295306,728530,43924.3,4565.9,4188.5,3637,10281,1082.5,417873.0,426695.0,321,433731,44320.1,285998.3,286112.0,274016,294208,4151.9,cudaLaunchKernel,"void mul_mat_q_split_k<(ggml_type)159, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
231670,231670,0,96,96,705678.4,714329.5,289271,725747,44492.6,4847.6,4622.5,3642,14153,1227.1,413241.0,422021.5,559,430910,44097.9,287589.8,287279.0,274559,298079,3250.5,cudaLaunchKernel,"void mul_mat_q_split_k<(ggml_type)159, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
231670,231670,1,4119,4115,231705.3,178763.0,105740,1169610,102688.8,4208.6,3937.0,3509,19883,954.6,70231.8,59693.0,448,569611,55575.7,157333.4,112736.0,98112,598656,63149.3,cudaLaunchKernel,"void flash_attn_per_slot_kv_singlewarp_kernel<(int)256, (int)256, (ggml_type)2, (ggml_type)2>(const char *, const char *, const char *, const char *, const char *, const int *, const int *, int, float *, float2 *, float, float, float, float, float, unsigned int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
231670,231670,1,4119,4119,224414.3,172149.0,91727,1193519,104684.8,3679.0,3503.0,3185,25445,855.8,219330.3,167383.0,81962,1183987,104367.2,1405.0,1376.0,1344,5760,364.3,cudaLaunchKernel,"sigmoid_f32(const float *, float *, int)"
231670,231670,1,4119,4119,221935.6,170009.0,82288,1197698,105080.9,3767.3,3613.0,3239,20896,775.6,216172.8,164525.0,73564,1184559,104585.8,1995.5,1952.0,1888,8960,585.5,cudaLaunchKernel,"void k_bin_bcast<&op_mul, float, float, float>(const T2 *, const T3 *, T4 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
231670,231670,0,3864,3859,219430.5,174938.5,114120,1158821,96313.0,4257.8,3979.0,3578,21017,896.6,58008.4,56147.0,173,556754,43156.4,157240.1,112575.0,97247,599294,63794.1,cudaLaunchKernel,"void flash_attn_per_slot_kv_singlewarp_kernel<(int)256, (int)256, (ggml_type)2, (ggml_type)2>(const char *, const char *, const char *, const char *, const char *, const int *, const int *, int, float *, float2 *, float, float, float, float, float, unsigned int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
231670,231670,0,3864,3864,211797.3,167811.5,90969,1181127,98551.7,3877.9,3663.0,3306,20088,844.5,206524.5,162826.0,83013,1171571,98215.8,1394.9,1344.0,1312,5664,372.2,cudaLaunchKernel,"sigmoid_f32(const float *, float *, int)"
231670,231670,0,3864,3864,208734.9,165098.5,83183,1184241,99005.6,4019.4,3806.0,3454,19796,803.0,202725.4,159409.0,74372,1171295,98450.5,1990.2,1920.0,1888,8928,595.1,cudaLaunchKernel,"void k_bin_bcast<&op_mul, float, float, float>(const T2 *, const T3 *, T4 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
231670,231670,1,20628,20628,194716.0,171698.0,87270,1525779,119351.1,3508.8,3354.0,2985,19965,832.5,189312.6,166455.5,79192,1505651,118058.1,1894.6,1760.0,1696,20160,1356.6,cudaLaunchKernel,"void k_add_same<(int)256, float>(long, const T2 *, const T2 *, T2 *)"
231670,231670,1,33024,33017,145696.8,158178.5,22882,1940297,121890.0,3895.2,3721.0,3374,938783,5208.5,128003.4,141752.0,0,1919287,112875.5,13825.5,12800.0,11968,958879,11940.0,cuLaunchKernelEx,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
231670,231670,0,33024,33004,139681.6,152391.5,17037,1929674,120673.8,3104.3,2932.0,2623,933517,5177.4,65677.9,96578.0,40,1413427,101737.0,70941.5,52256.0,12128,1292189,57597.0,cuLaunchKernelEx,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
231670,231670,1,57297,57248,120052.4,97608.0,58244,594826,60301.4,3459.0,3315.0,2979,25045,761.0,60400.1,55669.0,29,554867,56257.0,56246.9,58336.0,15808,93632,25011.7,cudaLaunchKernel,"void mul_mat_q_split_k<(ggml_type)2, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
231670,231670,1,16476,16472,118860.9,72490.5,6165,1176549,94385.9,3450.2,3286.0,3022,19696,753.9,113492.8,67135.5,813,1161030,94075.5,1945.5,1888.0,1824,12512,644.2,cudaLaunchKernel,"void hadamard_f32<(int)256>(const char *, char *, int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
231670,231670,0,57039,56976,116351.2,97289.0,20468,308153,55409.8,3547.8,3398.0,2994,112618,958.7,56591.9,55140.5,75,267604,49433.2,56276.7,58208.0,15776,93536,24959.0,cudaLaunchKernel,"void mul_mat_q_split_k<(ggml_type)2, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
