Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
47.3,273976748934,39,7025044844.5,101275209.0,103035,18245425095,8478156091.1,pthread_cond_wait
34.7,200837599239,2812,71421621.4,10424310.5,1006,1001387834,146461996.7,poll
11.3,65530918493,96,682613734.3,500418034.0,500028263,4000423920,781757102.1,pthread_cond_timedwait
3.2,18242735639,7,2606105091.3,5711818.0,2590,9223320546,4447008988.0,accept4
3.1,18116622133,19,953506428.1,1000417611.0,113714839,1000427166,203365850.1,pthread_cond_clockwait
0.1,504146358,599,841646.7,2550.0,1320,501041457,20471820.1,mmap
0.1,495765003,1668,297221.2,1728.5,1596,492513692,12059201.9,accept
0.1,334990663,6646,50404.9,13962.5,1000,13239419,292053.5,ioctl
0.0,274539451,5035,54526.2,53913.0,4084,5056795,100012.1,nanosleep
0.0,119517725,571,209313.0,2718.0,1855,98704352,4167852.8,munmap
0.0,93401641,70,1334309.2,20079.5,1070,59040580,7761108.6,pthread_mutex_lock
0.0,82872819,2,41436409.5,41436409.5,1338,82871481,58598040.1,pthread_rwlock_wrlock
0.0,6223958,19,327576.7,16173.0,10714,2867829,762886.6,pthread_join
0.0,4693233,1,4693233.0,4693233.0,4693233,4693233,0.0,dup
0.0,4682404,2505,1869.2,1183.0,1053,972663,20599.1,fread
0.0,4289954,59,72711.1,6760.0,5037,1576699,283747.8,mmap64
0.0,3379528,355,9519.8,4247.0,1648,550997,42717.1,send
0.0,2619918,60,43665.3,1489.5,1184,717388,133956.3,read
0.0,2614493,34,76896.9,70505.0,20237,134267,25601.0,pthread_create
0.0,2252392,355,6344.8,2428.0,1004,112466,14889.6,recv
0.0,2054684,343,5990.3,6214.0,1007,21089,2016.7,fputs
0.0,1764072,23,76698.8,65174.0,5472,322052,94209.7,sem_timedwait
0.0,607731,124,4901.1,3606.0,1093,78996,7248.0,fopen
0.0,558149,18,31008.3,27409.5,6890,63856,16146.6,connect
0.0,455797,100,4558.0,3868.5,1724,13753,2217.4,open64
0.0,375138,35,10718.2,9778.0,1520,41862,8719.2,shutdown
0.0,363086,82,4427.9,2695.5,1008,16122,3680.4,fclose
0.0,213587,60,3559.8,2423.5,1036,20367,2995.6,close
0.0,207912,1,207912.0,207912.0,207912,207912,0.0,ppoll
0.0,184495,4,46123.8,45974.5,42305,50241,3713.5,fgets
0.0,178768,33,5417.2,4356.0,2263,12682,2893.1,socket
0.0,122363,15,8157.5,5522.0,1378,25405,7327.1,open
0.0,105567,32,3299.0,2542.0,1261,12652,2622.0,fflush
0.0,62808,26,2415.7,1914.5,1013,5747,1316.1,write
0.0,46955,19,2471.3,2316.0,1223,5579,1242.6,pthread_cond_signal
0.0,43001,8,5375.1,2374.5,1354,27975,9152.4,pthread_cond_broadcast
0.0,42773,15,2851.5,1723.0,1212,7053,2141.5,bind
0.0,22261,17,1309.5,1206.0,1002,2925,433.5,fcntl
0.0,17278,4,4319.5,4259.0,3170,5590,1261.6,pipe2
0.0,13558,7,1936.9,1937.0,1126,3237,742.7,listen
0.0,11811,6,1968.5,2137.0,1202,2600,620.1,stat
0.0,7586,3,2528.7,2740.0,1706,3140,740.0,fwrite
0.0,5439,1,5439.0,5439.0,5439,5439,0.0,pipe
0.0,4442,1,4442.0,4442.0,4442,4442,0.0,fopen64
0.0,2111,1,2111.0,2111.0,2111,2111,0.0,signal
0.0,1154,1,1154.0,1154.0,1154,1154,0.0,mlockall
0.0,1109,1,1109.0,1109.0,1109,1109,0.0,pthread_rwlock_rdlock
0.0,1064,1,1064.0,1064.0,1064,1064,0.0,sigaction
