Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
46.3,6656246954,73770,90229.7,10209.5,119,265686121,1002436.7,cudaMemcpyAsync
30.0,4316880247,1203265,3587.6,3372.0,704,3440923,6940.4,cudaLaunchKernel
10.0,1440999378,7735,186296.0,6503.0,1341,4266004,759986.7,cudaDeviceSynchronize
3.0,426114791,118848,3585.4,3306.0,941,4038245,17073.9,cudaLaunchKernelExC_v11060
2.8,403259736,119106,3385.7,3241.0,579,47341,765.8,cuLaunchKernel
1.6,231149290,66048,3499.7,3512.0,2623,938783,5208.0,cuLaunchKernelEx
1.4,207105916,252188,821.2,756.0,544,21702,388.5,cudaEventRecord
1.0,150162590,1203265,124.8,118.0,95,23355,109.1,cuKernelGetName
0.7,106361826,133398,797.3,685.0,549,30523,447.2,cudaStreamWaitEvent
0.6,91516317,1874,48834.7,64088.0,2012,1293433,56644.1,cudaMalloc
0.5,77654010,594096,130.7,111.0,96,21620,116.6,cuStreamGetCaptureInfo_v2
0.4,50936280,5537,9199.3,3516.0,662,308660,21139.3,cudaStreamSynchronize
0.3,40996159,119106,344.2,293.0,256,909891,3633.0,cuKernelGetFunction
0.3,40340991,132096,305.4,270.0,227,28825,232.4,cudaStreamGetCaptureInfo_v12030
0.3,40077824,66048,606.8,570.0,429,24631,326.7,cudaGetFuncBySymbol_v11000
0.3,38816449,19,2042971.0,1296249.0,343434,10550214,2602655.8,cuLibraryLoadData
0.1,20577934,1765,11658.9,6653.0,1893,43981,10479.9,cudaMemset
0.1,9565533,558,17142.5,18058.5,5693,210678,16812.8,cudaGraphLaunch_v10000
0.1,8738461,1290,6774.0,6398.0,3644,25472,2722.5,cudaMemcpyPeerAsync
0.1,7288464,48,151843.0,1120.5,715,7061117,1018567.7,cudaMallocAsync_v11020
0.0,4721212,66,71533.5,62031.5,43127,247811,32067.2,cuMemSetAccess
0.0,4110129,3,1370043.0,829187.0,40358,3240584,1667259.9,cudaMallocHost
0.0,2902589,22,131935.9,25045.5,560,1425534,299504.1,cudaFree
0.0,2139652,17,125861.9,117498.0,39696,201769,46467.1,cudaGraphInstantiate_v12000
0.0,2009267,8,251158.4,25310.0,7797,997698,429275.6,cudaHostAlloc
0.0,1707832,51,33486.9,26830.0,16140,144729,21634.9,cuMemCreate
0.0,1622404,3,540801.3,403453.0,56494,1162457,565629.7,cudaFreeHost
0.0,1276464,66,19340.4,16773.0,1377,78608,15312.9,cuMemMap
0.0,1128150,62,18196.0,2763.0,1184,211745,40014.8,cuMemAddressReserve
0.0,629458,44,14305.9,6390.0,4038,200567,29452.6,cudaMemsetAsync
0.0,585550,54,10843.5,4352.0,1823,117986,26101.7,cudaStreamCreateWithFlags
0.0,569668,17,33509.9,33978.0,10846,64183,15201.7,cudaGraphExecDestroy_v10000
0.0,554096,19,29162.9,27005.0,11745,49814,12827.7,cudaMemGetInfo
0.0,529229,2,264614.5,264614.5,175115,354114,126571.4,cuMemUnmap
0.0,505962,49,10325.8,8120.0,1474,21055,5583.0,cudaGraphDestroy_v10000
0.0,440771,49,8995.3,6820.0,1249,33622,6917.8,cudaGraphExecUpdate_v10020
0.0,231586,49,4726.2,3552.0,1744,17050,3122.4,cudaStreamBeginCapture_v10000
0.0,224003,23,9739.3,249.0,185,61928,21380.2,cuMemRelease
0.0,212024,48,4417.2,3556.5,2623,25945,3512.1,cudaStreamDestroy
0.0,147916,880,168.1,142.0,99,1300,90.1,cuGetProcAddress_v2
0.0,101712,2,50856.0,50856.0,40482,61230,14671.1,cudaMemPoolCreate_v11020
0.0,91159,49,1860.4,1466.0,554,9930,1665.0,cudaStreamEndCapture_v10000
0.0,85975,48,1791.1,973.0,711,11875,2291.3,cudaFreeAsync_v11020
0.0,65563,160,409.8,277.0,222,4222,441.4,cudaThreadExchangeStreamCaptureMode_v10010
0.0,47709,76,627.8,382.0,318,3715,663.7,cudaEventCreateWithFlags
0.0,41885,36,1163.5,552.0,348,8678,1866.5,cuLibraryGetKernel
0.0,40455,65,622.4,193.0,138,20198,2524.6,cuMemGetAllocationGranularity
0.0,35313,66,535.0,425.0,331,2843,358.8,cudaEventDestroy
0.0,30621,2,15310.5,15310.5,9021,21600,8894.7,cuMemAddressFree
0.0,21655,43,503.6,475.0,298,1655,218.2,cudaGetDriverEntryPointByVersion_v12050
0.0,9827,16,614.2,554.0,456,983,190.2,cuMemRetainAllocationHandle
0.0,9814,16,613.4,254.0,205,3747,1010.5,cuMemGetAllocationPropertiesFromHandle
0.0,8225,4,2056.3,1921.0,1740,2643,418.0,cuInit
0.0,7944,3,2648.0,290.0,116,7538,4235.8,cuModuleGetLoadingMode
0.0,5953,8,744.1,548.5,150,1534,537.0,cudaGetDeviceProperties_v12000
0.0,4951,2,2475.5,2475.5,1873,3078,852.1,cudaEventQuery
0.0,2481,2,1240.5,1240.5,1154,1327,122.3,cudaMemPoolSetAttribute_v11020
