Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
33.1,6432746140,114336,56261.8,58272.0,15776,93632,24985.3,"void mul_mat_q_split_k<(ggml_type)2, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
14.7,2863568878,32640,87731.9,87648.0,87072,93792,486.5,"void fused_mul_mat_vec_q<(ggml_type)2, (int)1, (int)4, (int)1>(const void *, const void *, const void *, float *, const char *, const void *, const void *, unsigned long, int, int, int, int, unsigned long, unsigned long, unsigned long, long, ggml_unary_op, float)"
14.4,2799346651,66048,42383.5,21920.0,11968,1292189,50453.3,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
8.1,1581055518,119058,13279.7,3968.0,3872,4203616,194307.4,void cutlass::Kernel2<cutlass_75_wmma_tensorop_h161616gemm_16x16_128x2_tn_align8>(T1::Params)
6.5,1255632093,7983,157288.2,112672.0,97247,599294,63458.2,"void flash_attn_per_slot_kv_singlewarp_kernel<(int)256, (int)256, (ggml_type)2, (ggml_type)2>(const char *, const char *, const char *, const char *, const char *, const int *, const int *, int, float *, float2 *, float, float, float, float, float, unsigned int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
5.3,1034052020,24558,42106.5,42144.0,40576,44128,461.0,"void mul_mat_q_split_k<(ggml_type)159, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
2.3,449587719,1383,325081.5,422688.0,54720,466592,130796.3,"void mul_mat_q_split_k<(ggml_type)2, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
2.3,441194430,65721,6713.1,2464.0,2080,19008,5619.7,"void cpy_flt<&cpy_1_flt<float, float>>(const char *, char *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, char **, int)"
1.6,312527205,66264,4716.4,4640.0,4256,15904,904.4,"void fused_rms_norm_f32<(int)1024, float>(const T2 *, const float *, float *, int, float)"
1.4,273570208,138894,1969.6,2048.0,1376,2368,201.7,"void mul_mat_q_split_k_fixup<(int)8, (int)8, (bool)0, (int)4>(float *, const float *, int, int, int)"
1.3,260480816,24750,10524.5,7552.0,5760,391776,33460.6,"void delta_net_recurrent_f32<(int)128, (int)256>(const float *, const float *, const float *, const float *, const float *, const float *, float *, long, long, int, long, long, long, int, unsigned long, unsigned long, unsigned long)"
1.2,227946044,118800,1918.7,1920.0,1824,2016,23.0,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, __half, __half, (bool)0, __half, __half, __half, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
1.0,188105597,98991,1900.2,1664.0,1599,15360,769.1,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1>(const float *, void *, long, long, long)"
0.9,177411608,119058,1490.1,1472.0,1279,2176,175.4,"void convert_unary<float, __half>(const void *, T2 *, long)"
0.8,162155038,119058,1362.0,1344.0,1248,4320,144.5,"void convert_unary<__half, float>(const void *, T2 *, long)"
0.6,115203958,24750,4654.7,4640.0,4544,5344,61.1,"concat_f32_dim0(const float *, const float *, float *, long, long)"
0.4,83120691,48936,1698.6,1696.0,1631,1792,32.8,"void l2_norm_f32<(int)256>(const float *, float *, int, float)"
0.3,66035589,24750,2668.1,2528.0,2208,23264,1758.4,"void ssm_conv_single_seq_f32_nc4<(int)32>(const float *, const float *, const float *, float *, int, int, int, int, int)"
0.3,63573410,32697,1944.3,1888.0,1824,12544,649.7,"void hadamard_f32<(int)256>(const char *, char *, int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.3,62687665,33003,1899.5,1760.0,1632,20160,1380.6,"void k_add_same<(int)256, float>(long, const T2 *, const T2 *, T2 *)"
0.3,61837503,15966,3873.1,3840.0,3616,15712,1007.7,"void k_set_rows_quant<long, block_q4_0, (int)32, &quantize_f32_q4_0_block>(const float *, const T1 *, T2 *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long)"
0.3,59997508,1575,38093.7,34496.0,8032,59616,15310.9,"void mul_mat_q_split_k_fixup<(int)96, (int)8, (bool)0, (int)4>(float *, const float *, int, int, int)"
0.3,55064454,192,286794.0,287007.0,274016,298079,3803.4,"void mul_mat_q_split_k<(ggml_type)159, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
0.3,53536912,24750,2163.1,2080.0,2015,13376,934.9,"void fused_rms_norm_f32<(int)128, float>(const T2 *, const float *, float *, int, float)"
0.3,52243731,32766,1594.4,1600.0,1535,1824,26.1,"quantize_q8_1(const float *, void *, long, long)"
0.3,52074249,24750,2104.0,2112.0,2016,3456,76.2,"ssm_conv_single_seq_final_state_f32(const float *, const float *, float *, int, int, int, int, int, int)"
0.2,48004409,25002,1920.0,1568.0,1343,33728,3152.5,"fused_mul_silu_f32(const float *, const float *, float *, int)"
0.2,40565899,24750,1639.0,1632.0,1568,1856,31.1,"k_fused_softplus(int, int, const float *, const float *, const float *, float *)"
0.2,36134198,24750,1460.0,1376.0,1343,12768,933.8,"silu_f32(const float *, float *, int)"
0.2,34742032,16476,2108.6,2112.0,1920,13248,663.9,"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool)"
0.2,34630892,16476,2101.9,2080.0,1887,11936,612.8,"void fused_rms_norm_f32<(int)256, float>(const T2 *, const float *, float *, int, float)"
0.1,15909360,7983,1992.9,1952.0,1888,8960,590.2,"void k_bin_bcast<&op_mul, float, float, float>(const T2 *, const T3 *, T4 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
0.1,11981040,126,95087.6,95039.5,94688,95936,241.6,"void fused_mul_mat_vec_q<(ggml_type)2, (int)2, (int)4, (int)1>(const void *, const void *, const void *, float *, const char *, const void *, const void *, unsigned long, int, int, int, int, unsigned long, unsigned long, unsigned long, long, ggml_unary_op, float)"
0.1,11177137,7983,1400.1,1376.0,1312,5760,368.1,"sigmoid_f32(const float *, float *, int)"
0.0,2694843,372,7244.2,7328.0,6848,7776,213.8,"scale_f32(const float *, float *, float, float, long)"
0.0,2025214,564,3590.8,4224.0,1696,5024,1213.6,"void l2_norm_f32_nc<(int)32>(const float *, float *, int, long, long, long, float)"
