Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
38.9,2422512851,35138,68942.8,10725.0,138,1946769,106147.3,cudaMemcpyAsync
34.9,2177492368,597195,3646.2,3366.0,1190,228157,1272.9,cudaLaunchKernel
11.5,715450290,3825,187045.8,6579.0,1398,4259227,761739.9,cudaDeviceSynchronize
3.5,218787794,59136,3699.7,3398.0,3086,318829,1729.8,cudaLaunchKernelExC_v11060
3.3,207727093,59264,3505.1,3254.0,2997,418487,2020.0,cuLaunchKernel
1.9,120444066,32768,3675.7,3568.0,2666,26272,1188.1,cuLaunchKernelEx
1.8,110147532,125312,879.0,796.0,521,38230,532.1,cudaEventRecord
1.2,76947402,597195,128.8,118.0,92,48215,157.8,cuKernelGetName
0.9,54578860,66176,824.8,678.0,540,17288,528.3,cudaStreamWaitEvent
0.6,39563764,295680,133.8,111.0,95,17281,150.8,cuStreamGetCaptureInfo_v2
0.4,21851359,65536,333.4,283.0,228,23122,333.7,cudaStreamGetCaptureInfo_v12030
0.3,21792093,32768,665.0,609.0,434,17473,432.8,cudaGetFuncBySymbol_v11000
0.3,20575684,59264,347.2,301.0,253,19364,302.9,cuKernelGetFunction
0.2,9818122,616,15938.5,10722.0,3781,55139,11654.5,cudaMemset
0.1,8477995,1985,4271.0,3747.0,990,308458,9685.4,cudaStreamSynchronize
0.1,4528436,640,7075.7,6647.0,3838,33708,3245.3,cudaMemcpyPeerAsync
0.1,4063357,257,15810.7,18082.0,7502,45603,7371.3,cudaGraphLaunch_v10000
0.0,18705,2,9352.5,9352.5,9276,9429,108.2,cudaGraphExecUpdate_v10020
0.0,16749,2,8374.5,8374.5,8142,8607,328.8,cudaStreamBeginCapture_v10000
0.0,11833,2,5916.5,5916.5,5859,5974,81.3,cudaGraphDestroy_v10000
0.0,5921,1,5921.0,5921.0,5921,5921,0.0,cuProfilerStart
0.0,3339,2,1669.5,1669.5,1494,1845,248.2,cudaStreamEndCapture_v10000
