Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
33.1,3198188844,56771,56334.9,58464.0,15744,93855,24994.5,"void mul_mat_q_split_k<(ggml_type)2, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
14.8,1426525926,16258,87743.0,87680.0,87104,93984,474.1,"void fused_mul_mat_vec_q<(ggml_type)2, (int)1, (int)4, (int)1>(const void *, const void *, const void *, float *, const char *, const void *, const void *, unsigned long, int, int, int, int, unsigned long, unsigned long, unsigned long, long, ggml_unary_op, float)"
14.2,1368639667,32768,41767.6,17696.0,11968,1285341,50501.0,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
8.1,785995015,59264,13262.6,4000.0,3903,4194308,193998.3,void cutlass::Kernel2<cutlass_75_wmma_tensorop_h161616gemm_16x16_128x2_tn_align8>(T1::Params)
6.6,638106099,3967,160853.6,112864.0,111840,600320,65900.2,"void flash_attn_per_slot_kv_singlewarp_kernel<(int)256, (int)256, (ggml_type)2, (ggml_type)2>(const char *, const char *, const char *, const char *, const char *, const int *, const int *, int, float *, float2 *, float, float, float, float, float, unsigned int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
5.3,513898905,12192,42150.5,42176.0,40640,44128,460.0,"void mul_mat_q_split_k<(ggml_type)159, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
2.3,225040615,693,324733.9,422559.0,54944,464480,130924.2,"void mul_mat_q_split_k<(ggml_type)2, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
2.3,219542002,32638,6726.6,2464.0,2111,19072,5625.7,"void cpy_flt<&cpy_1_flt<float, float>>(const char *, char *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, char **, int)"
1.6,155899809,32895,4739.3,4640.0,4448,16064,912.3,"void fused_rms_norm_f32<(int)1024, float>(const T2 *, const float *, float *, int, float)"
1.4,136163616,68963,1974.4,2048.0,1407,2368,201.0,"void mul_mat_q_split_k_fixup<(int)8, (int)8, (bool)0, (int)4>(float *, const float *, int, int, int)"
1.3,129615154,12288,10548.1,7552.0,7360,389984,33495.5,"void delta_net_recurrent_f32<(int)128, (int)256>(const float *, const float *, const float *, const float *, const float *, const float *, float *, long, long, int, long, long, long, int, unsigned long, unsigned long, unsigned long)"
