Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
33.1,3195382218,56771,56285.5,58368.0,15808,93248,24980.6,"void mul_mat_q_split_k<(ggml_type)2, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
14.8,1426675142,16258,87752.2,87680.0,87200,93344,501.9,"void fused_mul_mat_vec_q<(ggml_type)2, (int)1, (int)4, (int)1>(const void *, const void *, const void *, float *, const char *, const void *, const void *, unsigned long, int, int, int, int, unsigned long, unsigned long, unsigned long, long, ggml_unary_op, float)"
14.2,1368365003,32768,41759.2,20704.0,12032,1303228,50392.1,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
8.1,785829903,59264,13259.8,4000.0,3903,4195330,193959.6,void cutlass::Kernel2<cutlass_75_wmma_tensorop_h161616gemm_16x16_128x2_tn_align8>(T1::Params)
6.6,637898358,3967,160801.2,112864.0,111936,600351,65837.7,"void flash_attn_per_slot_kv_singlewarp_kernel<(int)256, (int)256, (ggml_type)2, (ggml_type)2>(const char *, const char *, const char *, const char *, const char *, const int *, const int *, int, float *, float2 *, float, float, float, float, float, unsigned int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
5.3,513918091,12192,42152.1,42176.0,40288,44096,462.4,"void mul_mat_q_split_k<(ggml_type)159, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
2.3,225414240,693,325273.1,422592.0,54912,461152,131356.5,"void mul_mat_q_split_k<(ggml_type)2, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
2.3,219605034,32638,6728.5,2464.0,2080,19040,5630.8,"void cpy_flt<&cpy_1_flt<float, float>>(const char *, char *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, char **, int)"
1.6,155775400,32895,4735.5,4640.0,4448,15936,912.6,"void fused_rms_norm_f32<(int)1024, float>(const T2 *, const float *, float *, int, float)"
1.4,136035936,68963,1972.6,2048.0,1407,2336,200.9,"void mul_mat_q_split_k_fixup<(int)8, (int)8, (bool)0, (int)4>(float *, const float *, int, int, int)"
1.3,129637726,12288,10549.9,7552.0,7327,392736,33574.6,"void delta_net_recurrent_f32<(int)128, (int)256>(const float *, const float *, const float *, const float *, const float *, const float *, float *, long, long, int, long, long, long, int, unsigned long, unsigned long, unsigned long)"
1.2,114435959,59136,1935.1,1920.0,1887,2016,22.5,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, __half, __half, (bool)0, __half, __half, __half, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
1.0,93618183,49148,1904.8,1664.0,1599,15488,770.2,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1>(const float *, void *, long, long, long)"
0.9,88716173,59264,1497.0,1472.0,1280,2240,176.4,"void convert_unary<float, __half>(const void *, T2 *, long)"
0.8,81273225,59264,1371.4,1344.0,1279,4416,143.9,"void convert_unary<__half, float>(const void *, T2 *, long)"
0.6,57455086,12288,4675.7,4672.0,4576,5376,60.4,"concat_f32_dim0(const float *, const float *, float *, long, long)"
0.4,41630363,24384,1707.3,1696.0,1632,1792,34.6,"void l2_norm_f32<(int)256>(const float *, float *, int, float)"
0.3,33355552,12288,2714.5,2560.0,2240,23360,1763.4,"void ssm_conv_single_seq_f32_nc4<(int)32>(const float *, const float *, const float *, float *, int, int, int, int, int)"
0.3,31719191,16252,1951.7,1920.0,1824,12928,654.0,"void hadamard_f32<(int)256>(const char *, char *, int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.3,31269677,16383,1908.7,1792.0,1632,19680,1381.9,"void k_add_same<(int)256, float>(long, const T2 *, const T2 *, T2 *)"
0.3,30783209,7934,3879.9,3840.0,3647,15648,1013.4,"void k_set_rows_quant<long, block_q4_0, (int)32, &quantize_f32_q4_0_block>(const float *, const T1 *, T2 *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long)"
0.3,30026363,789,38056.2,34496.0,8096,59136,15334.3,"void mul_mat_q_split_k_fixup<(int)96, (int)8, (bool)0, (int)4>(float *, const float *, int, int, int)"
0.3,27595191,96,287449.9,287839.0,280480,294399,3388.1,"void mul_mat_q_split_k<(ggml_type)159, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
0.3,26682627,12288,2171.4,2080.0,2015,13376,939.2,"void fused_rms_norm_f32<(int)128, float>(const T2 *, const float *, float *, int, float)"
0.3,26010219,16258,1599.8,1600.0,1536,1760,24.7,"quantize_q8_1(const float *, void *, long, long)"
0.3,25888521,12288,2106.8,2112.0,2047,3456,77.9,"ssm_conv_single_seq_final_state_f32(const float *, const float *, float *, int, int, int, int, int, int)"
0.2,23932876,12414,1927.9,1568.0,1343,34080,3165.6,"fused_mul_silu_f32(const float *, const float *, float *, int)"
0.2,20295406,12288,1651.6,1664.0,1599,1920,31.9,"k_fused_softplus(int, int, const float *, const float *, const float *, float *)"
0.2,18045835,12288,1468.6,1376.0,1343,12896,937.0,"silu_f32(const float *, float *, int)"
0.2,17342223,8190,2117.5,2112.0,1920,13408,676.1,"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool)"
0.2,17300396,8190,2112.4,2080.0,1920,11936,619.9,"void fused_rms_norm_f32<(int)256, float>(const T2 *, const float *, float *, int, float)"
0.1,7952919,3967,2004.8,1952.0,1919,8929,591.4,"void k_bin_bcast<&op_mul, float, float, float>(const T2 *, const T3 *, T4 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
0.1,5572636,3967,1404.7,1376.0,1312,5792,370.7,"sigmoid_f32(const float *, float *, int)"
0.0,850655,192,4430.5,4464.0,4064,4992,205.4,"void l2_norm_f32_nc<(int)32>(const float *, float *, int, long, long, long, float)"
0.0,712768,96,7424.7,7424.0,7264,7648,85.1,"scale_f32(const float *, float *, float, float, long)"
