Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
67.4,83261993924,1137,73229546.1,10432862.0,1105,1001413280,148082215.3,poll
18.2,22510941797,38,592393205.2,500426156.0,500055661,4000432689,567799114.8,pthread_cond_timedwait
7.5,9280032865,2,4640016432.5,4640016432.5,104013008,9176019857,6414877561.9,pthread_cond_wait
6.9,8508783673,9,945420408.1,1000081235.0,507086950,1000439613,164375138.2,pthread_cond_clockwait
0.0,920138,12,76678.2,22031.5,20520,392125,128906.2,pthread_mutex_lock
0.0,626699,109,5749.5,5492.0,3596,11407,1010.3,fputs
0.0,138313,4,34578.3,34140.5,14843,55189,17031.8,ioctl
0.0,51580,2,25790.0,25790.0,8442,43138,24533.8,send
0.0,49921,8,6240.1,4938.5,1061,19881,6355.6,fflush
0.0,18595,1,18595.0,18595.0,18595,18595,0.0,shutdown
0.0,12771,3,4257.0,3839.0,3136,5796,1378.4,pthread_cond_signal
0.0,7898,1,7898.0,7898.0,7898,7898,0.0,close
0.0,2561,1,2561.0,2561.0,2561,2561,0.0,pthread_cond_broadcast
0.0,1636,1,1636.0,1636.0,1636,1636,0.0,recv
