Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
72.9,149298434,616,242367.6,246080.0,46272,486528,193566.2,[CUDA memset]
25.4,51976332,32992,1575.4,896.0,832,135264,8234.6,[CUDA memcpy Device-to-Host]
1.1,2325086,1793,1296.8,736.0,704,305441,10168.5,[CUDA memcpy Host-to-Device]
0.6,1198783,640,1873.1,1760.0,1312,95455,4172.5,[CUDA memcpy Peer-to-Peer]
