Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
39.6,2478844502,35138,70546.0,9597.0,125,1928797,106703.3,cudaMemcpyAsync
33.7,2108782197,597195,3531.1,3324.0,1193,295434,1160.4,cudaLaunchKernel
12.5,785154910,3825,205269.3,6016.0,1384,4303065,761408.3,cudaDeviceSynchronize
3.4,212141068,59136,3587.3,3347.0,3089,40806,952.5,cudaLaunchKernelExC_v11060
3.2,201233034,59264,3395.5,3218.0,2993,26271,885.6,cuLaunchKernel
1.8,114626226,32768,3498.1,3521.0,2648,27651,977.1,cuLaunchKernelEx
1.7,104241874,125312,831.9,761.0,518,21401,433.8,cudaEventRecord
1.2,76383257,597195,127.9,120.0,99,20074,128.9,cuKernelGetName
0.8,51859392,66176,783.7,663.0,546,18706,453.2,cudaStreamWaitEvent
0.6,39203667,295680,132.6,110.0,98,27672,143.9,cuStreamGetCaptureInfo_v2
0.3,20805781,65536,317.5,281.0,228,21751,232.1,cudaStreamGetCaptureInfo_v12030
0.3,20741234,59264,350.0,310.0,270,13244,225.4,cuKernelGetFunction
0.3,20566489,32768,627.6,587.0,430,16357,350.6,cudaGetFuncBySymbol_v11000
0.2,12060697,616,19579.1,12424.5,4966,58045,12975.4,cudaMemset
0.1,8967642,1985,4517.7,3790.0,1011,307818,9732.6,cudaStreamSynchronize
0.1,4145655,640,6477.6,5190.0,3863,19608,2750.0,cudaMemcpyPeerAsync
0.1,3829356,257,14900.2,16671.0,7223,29942,6454.7,cudaGraphLaunch_v10000
0.0,17160,2,8580.0,8580.0,8425,8735,219.2,cudaGraphExecUpdate_v10020
0.0,15960,2,7980.0,7980.0,7511,8449,663.3,cudaStreamBeginCapture_v10000
0.0,12329,2,6164.5,6164.5,6021,6308,202.9,cudaGraphDestroy_v10000
0.0,5637,1,5637.0,5637.0,5637,5637,0.0,cuProfilerStart
0.0,3618,2,1809.0,1809.0,1711,1907,138.6,cudaStreamEndCapture_v10000
