Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
65.6,102309472809,1401,73026033.4,10445279.0,1021,1001447328,147120425.4,poll
19.9,31019770900,48,646245227.1,500437478.5,500070137,4000458127,706800464.8,pthread_cond_timedwait
7.5,11670930922,2,5835465461.0,5835465461.0,107865229,11563065693,8100049927.9,pthread_cond_wait
7.0,10891444924,11,990131356.7,1000429405.0,888488335,1000450505,33711625.6,pthread_cond_clockwait
0.0,616297,109,5654.1,5671.0,2635,7413,607.5,fputs
0.0,503068,13,38697.5,19721.0,1418,280933,72976.4,pthread_mutex_lock
0.0,214581,6,35763.5,34027.0,13522,60874,22775.5,ioctl
0.0,74529,2,37264.5,37264.5,9134,65395,39782.5,send
0.0,21428,6,3571.3,3408.0,1012,5979,2072.3,fflush
0.0,19335,1,19335.0,19335.0,19335,19335,0.0,shutdown
0.0,17878,4,4469.5,4885.5,2848,5259,1102.8,pthread_cond_signal
0.0,7502,1,7502.0,7502.0,7502,7502,0.0,close
0.0,2887,1,2887.0,2887.0,2887,2887,0.0,pthread_cond_broadcast
0.0,1660,1,1660.0,1660.0,1660,1660,0.0,recv
