Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
76.1,215631592,616,350051.3,374528.0,261311,486144,85662.3,[CUDA memset]
22.6,64012006,33088,1934.6,896.0,832,134496,10582.3,[CUDA memcpy Device-to-Host]
0.9,2516673,1793,1403.6,736.0,704,305919,10183.8,[CUDA memcpy Host-to-Device]
0.4,1204382,640,1881.8,1792.0,1312,96159,4194.6,[CUDA memcpy Peer-to-Peer]
