Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
65.7,100878027477,1380,73100019.9,10446643.0,1162,1001417844,147183676.0,poll
19.9,30516223262,47,649281346.0,500435497.0,500066286,4000435723,714086527.7,pthread_cond_timedwait
7.6,11635154185,2,5817577092.5,5817577092.5,107616279,11527537906,8075104023.1,pthread_cond_wait
6.9,10591731209,11,962884655.4,1000437599.0,588043300,1000479250,124320898.5,pthread_cond_clockwait
0.0,614295,108,5687.9,5624.0,3788,10926,882.6,fputs
0.0,232643,10,23264.3,22545.0,18693,28599,3356.2,pthread_mutex_lock
0.0,91853,4,22963.3,19753.0,12837,39510,12548.8,ioctl
0.0,67888,2,33944.0,33944.0,24844,43044,12869.3,send
0.0,19882,1,19882.0,19882.0,19882,19882,0.0,shutdown
0.0,14354,4,3588.5,3284.0,2215,5571,1420.1,fflush
0.0,8455,3,2818.3,1882.0,1593,4980,1877.6,pthread_cond_signal
0.0,7433,1,7433.0,7433.0,7433,7433,0.0,close
0.0,3123,1,3123.0,3123.0,3123,3123,0.0,pthread_cond_broadcast
0.0,1525,1,1525.0,1525.0,1525,1525,0.0,recv
