Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
33.1,3199510629,56771,56358.2,58495.0,15776,93472,25017.7,"void mul_mat_q_split_k<(ggml_type)2, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
14.8,1427041841,16258,87774.7,87712.0,87168,93568,502.8,"void fused_mul_mat_vec_q<(ggml_type)2, (int)1, (int)4, (int)1>(const void *, const void *, const void *, float *, const char *, const void *, const void *, unsigned long, int, int, int, int, unsigned long, unsigned long, unsigned long, long, ggml_unary_op, float)"
14.3,1384820776,32768,42261.4,21696.0,11936,1284893,50782.2,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
8.1,785989853,59264,13262.5,4000.0,3904,4247875,193963.6,void cutlass::Kernel2<cutlass_75_wmma_tensorop_h161616gemm_16x16_128x2_tn_align8>(T1::Params)
6.6,637840272,3967,160786.6,112832.0,111967,599873,65833.8,"void flash_attn_per_slot_kv_singlewarp_kernel<(int)256, (int)256, (ggml_type)2, (ggml_type)2>(const char *, const char *, const char *, const char *, const char *, const int *, const int *, int, float *, float2 *, float, float, float, float, float, unsigned int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
5.3,513295930,12192,42101.0,42144.0,40640,43712,452.5,"void mul_mat_q_split_k<(ggml_type)159, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
2.3,225033726,693,324724.0,422304.0,55071,457281,130553.1,"void mul_mat_q_split_k<(ggml_type)2, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
2.3,219433703,32638,6723.3,2464.0,2112,19072,5619.3,"void cpy_flt<&cpy_1_flt<float, float>>(const char *, char *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, char **, int)"
1.6,156229431,32895,4749.3,4672.0,4480,15968,918.5,"void fused_rms_norm_f32<(int)1024, float>(const T2 *, const float *, float *, int, float)"
1.4,136256480,68963,1975.8,2048.0,1407,2368,199.6,"void mul_mat_q_split_k_fixup<(int)8, (int)8, (bool)0, (int)4>(float *, const float *, int, int, int)"
1.3,129717671,12288,10556.5,7584.0,7328,390433,33497.9,"void delta_net_recurrent_f32<(int)128, (int)256>(const float *, const float *, const float *, const float *, const float *, const float *, float *, long, long, int, long, long, long, int, unsigned long, unsigned long, unsigned long)"
1.2,114590262,59136,1937.7,1952.0,1887,2016,21.0,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, __half, __half, (bool)0, __half, __half, __half, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
1.0,93856847,49148,1909.7,1664.0,1599,15264,770.1,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1>(const float *, void *, long, long, long)"
0.9,89039869,59264,1502.4,1472.0,1280,2208,177.2,"void convert_unary<float, __half>(const void *, T2 *, long)"
0.8,81546380,59264,1376.0,1344.0,1280,4320,143.1,"void convert_unary<__half, float>(const void *, T2 *, long)"
0.6,57493053,12288,4678.8,4672.0,4607,5344,58.9,"concat_f32_dim0(const float *, const float *, float *, long, long)"
0.4,41654065,24384,1708.3,1696.0,1632,1792,35.4,"void l2_norm_f32<(int)256>(const float *, float *, int, float)"
0.3,33475365,12288,2724.2,2560.0,2240,23168,1767.7,"void ssm_conv_single_seq_f32_nc4<(int)32>(const float *, const float *, const float *, float *, int, int, int, int, int)"
0.3,31815078,16252,1957.6,1920.0,1855,12608,656.2,"void hadamard_f32<(int)256>(const char *, char *, int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.3,31204498,16383,1904.7,1760.0,1632,19776,1386.1,"void k_add_same<(int)256, float>(long, const T2 *, const T2 *, T2 *)"
0.3,30783180,7934,3879.9,3840.0,3647,15776,1007.2,"void k_set_rows_quant<long, block_q4_0, (int)32, &quantize_f32_q4_0_block>(const float *, const T1 *, T2 *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long)"
0.3,30041479,789,38075.4,34528.0,8096,59648,15348.2,"void mul_mat_q_split_k_fixup<(int)96, (int)8, (bool)0, (int)4>(float *, const float *, int, int, int)"
0.3,27643692,96,287955.1,288239.0,272831,298079,4569.2,"void mul_mat_q_split_k<(ggml_type)159, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
0.3,26692684,12288,2172.3,2080.0,2016,13280,936.8,"void fused_rms_norm_f32<(int)128, float>(const T2 *, const float *, float *, int, float)"
0.3,26047954,16258,1602.2,1600.0,1536,1760,24.2,"quantize_q8_1(const float *, void *, long, long)"
