Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
79.5,215728417,616,350208.5,375376.0,261312,481312,85874.6,[CUDA memset]
19.1,51921104,32992,1573.7,896.0,832,132832,8214.9,[CUDA memcpy Device-to-Host]
0.9,2513790,1793,1402.0,736.0,704,305119,10162.5,[CUDA memcpy Host-to-Device]
0.4,1203744,640,1880.8,1792.0,1312,96096,4192.7,[CUDA memcpy Peer-to-Peer]
