Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
39.6,2465812108,35042,70367.3,9009.5,126,1940745,106832.1,cudaMemcpyAsync
33.6,2087980653,597195,3496.3,3310.0,1142,283685,1192.4,cudaLaunchKernel
12.6,785207274,3823,205390.3,5889.0,1383,4285154,761704.7,cudaDeviceSynchronize
3.4,210547741,59136,3560.4,3336.0,3059,59137,978.9,cudaLaunchKernelExC_v11060
3.2,199789380,59264,3371.2,3214.0,2993,252654,1307.4,cuLaunchKernel
1.8,113732940,32768,3470.9,3507.0,2671,32500,961.1,cuLaunchKernelEx
1.7,103197053,125312,823.5,760.0,519,19258,395.4,cudaEventRecord
1.2,75861590,597195,127.0,119.0,98,15924,123.9,cuKernelGetName
0.8,51509340,66176,778.4,659.0,547,26114,459.9,cudaStreamWaitEvent
0.6,39083265,295680,132.2,111.0,96,18058,128.2,cuStreamGetCaptureInfo_v2
0.3,20672549,59264,348.8,311.0,270,16139,220.2,cuKernelGetFunction
0.3,20640805,65536,315.0,279.0,229,16066,211.9,cudaStreamGetCaptureInfo_v12030
0.3,20125313,32768,614.2,582.0,425,16195,330.6,cudaGetFuncBySymbol_v11000
0.2,11928895,616,19365.1,11994.5,4891,50757,13112.5,cudaMemset
0.1,8583992,1889,4544.2,3813.0,958,306900,9895.3,cudaStreamSynchronize
0.1,4094757,640,6398.1,5104.5,3852,18480,2697.1,cudaMemcpyPeerAsync
0.1,3923180,257,15265.3,16931.0,7497,37081,6734.6,cudaGraphLaunch_v10000
0.0,16679,2,8339.5,8339.5,8183,8496,221.3,cudaGraphExecUpdate_v10020
0.0,15965,2,7982.5,7982.5,7762,8203,311.8,cudaStreamBeginCapture_v10000
0.0,12616,2,6308.0,6308.0,6290,6326,25.5,cudaGraphDestroy_v10000
0.0,3300,2,1650.0,1650.0,1577,1723,103.2,cudaStreamEndCapture_v10000
